Generation 20
Point 80.64301,Rate 0.0896932,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

11,0,144
353,0,204
254,0,344
41,0,162
84,329,151
291,163,241
22,112,41
56,127,67

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


Point 66.65399,Rate 0.0742247,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

273,0,287
134,0,54
313,0,136
108,0,228
9,328,80
265,340,8
297,317,240
242,284,42

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


Point 61.25965,Rate 0.06825985,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

273,0,287
134,0,54
313,0,136
108,0,228
9,328,80
265,340,8
297,317,240
242,284,42

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


Point 53.39217,Rate 0.0595603,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

273,0,287
134,0,54
313,0,136
108,0,228
9,328,80
265,340,8
297,317,240
242,284,42

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


Point 52.06404,Rate 0.0580917,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

273,0,287
134,0,54
313,0,136
108,0,228
9,328,80
265,340,8
297,317,240
242,284,42

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


Point 46.02162,Rate 0.05141023,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

273,0,287
134,0,54
313,0,136
108,0,228
9,328,80
265,340,8
297,317,240
242,284,42

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


Point 45.08978,Rate 0.05037984,ParamCnt 4
162,0,209
182,0,140
110,0,58
312,0,126
271,16,228
271,17,289
203,1,316
162,185,26

351,0,297
242,0,98
82,0,303
126,0,342
317,333,37
15,36,91
81,331,323
31,257,237

273,0,287
134,0,54
313,0,136
108,0,228
9,328,80
265,340,8
297,317,240
242,284,42

79,0,154
75,0,247
114,0,278
94,0,268
114,30,189
32,335,125
100,108,40
6,268,259


