Generation 20
Point 14.38449,Rate 0.07253996,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.31443,Rate 0.06647395,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.28628,Rate 0.06403714,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.20985,Rate 0.05741923,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.1746,Rate 0.0543676,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.12991,Rate 0.05049837,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.0901,Rate 0.04705156,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.07909,Rate 0.04609771,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.05909,Rate 0.0443668,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 14.04029,Rate 0.04273868,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-3.679137,174.9174,4.982681
0,-3.16631,81.82225
-2.965819,0,-30
0,62.96788,-44.46025
0,0,-60.18799
1.142182,183.9084,-21.58157
0,0.9046574,46.65134
2.258135,0,-30
0,-61.6754,-45.91774
0,0,-66.37399

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-0.0466981,170.4204,-33.42627
0,-0.003384591,85.29825
-0.03306008,0,-30
0,61.22173,-67.10136
0,0,-76.83352
0.6635671,189.1309,-27.80796
0,1.735115,52.9028
3.242332,0,-30
0,-65.07385,-69.95763
0,0,-6.242745


Point 13.99601,Rate 0.03890504,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
