Point 138.9962,Rate 0.1420004,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 111.4132,Rate 0.1084796,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 105.4876,Rate 0.1012783,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 104.2408,Rate 0.09976319,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 94.30282,Rate 0.0876858,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 88.75663,Rate 0.08094568,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 86.20488,Rate 0.0778446,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 85.72869,Rate 0.07726591,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 77.64352,Rate 0.06744022,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
27,89,78
314,1,353

328,0,28
283,0,223
145,0,203
345,0,305
325,41,91
189,141,63
279,122,247
126,202,148


Point 75.3725,Rate 0.06468032,ParamCnt 4
123,0,57
115,0,121
276,0,209
123,0,329
18,103,55
235,76,336
19,56,283
163,125,101

177,0,194
74,0,62
96,0,237
162,0,132
206,290,223
306,9,113
269,322,227
307,52,277

190,0,41
199,0,99
68,0,143
297,0,167
247,115,351
94,74,255
